,Jnum,ROT_mean,ROT_std,SL_mean,SL_std,RDD_mean,RDD_std,NO_mean,NO_std,NO_max,U_mean,U_std,Ele_mean,Ele_low,WL_mean,WL_std,RDD_mean,RDD_std,NIV,NRT,Stay_mean,Stay_std,class
27,22,193.75,105.81531402315159,546.4804886320835,443.21807092805443,740.2304886320836,496.1571071201663,0.7,0.64,2,0.9436,0.0175,0.5349,2,253.95833333333334,198.00457258328376,740.2304886320836,496.1571071201663,0,113,529.3515211155656,257.96398434301585,0
28,14,201.42857142857142,104.53892937610391,859.8582420119503,313.8432210407893,1061.2868134405219,354.20499561054777,0.3,0.46,1,0.8129,0.0712,0.6244,0,167.91666666666666,123.13996665944363,1061.2868134405219,354.20499561054777,2,77,382.04227878937587,213.05237764511605,1
29,21,246.35714285714286,107.48523075256419,834.3768700258754,372.5419712285485,1080.7340128830183,388.8748858933646,0.3,0.46,1,0.9272,0.0057,0.256,2,310.9583333333333,195.84969346556443,1080.7340128830183,388.8748858933646,1,141,293.189126711349,206.54819602358322,2
30,97,329.4072164948454,108.7450989509888,-620.8868987089345,977.1883585018755,-291.4796822140891,1052.1001582465076,2.5,1.43,5,0.9618,0.0079,0.0876,5,1849.7916666666667,875.4468015993637,-291.4796822140891,1052.1001582465076,0,887,1619.6664673824496,961.7784701899361,0
31,30,201.08333333333334,118.67835265493405,332.99005346896485,445.85382920236475,534.0733868022982,494.0818044507955,0.4,0.66,2,0.9281,0.0103,0.7263,0,350.375,241.05325526737863,534.0733868022982,494.0818044507955,0,166,700.6663124811444,439.86935130431823,1
32,24,246.97916666666666,112.0262691632587,690.7490855902129,360.2398646245557,937.7282522568795,393.1817089124717,0.4,0.49,1,0.897,0.0465,0.7107,0,353.7916666666667,228.14363698604924,937.7282522568795,393.1817089124717,0,148,377.1687691533968,223.04749852224487,0
33,34,242.44117647058823,113.35419273401678,601.8052708274319,445.01176200371657,844.24644729802,514.5292187667575,0.5,0.67,2,0.948,0.0225,0.3145,2,496.6666666666667,318.29463115519593,844.24644729802,514.5292187667575,0,223,426.1533827942254,293.87747717704036,1
34,36,235.68055555555554,112.64386805682088,572.8528693400071,469.72523961740364,808.5334248955628,536.7595768616907,0.6,1.02,3,0.9287,0.0313,0.561,3,511.125,338.01627950193955,808.5334248955628,536.7595768616907,0,235,544.9489698963079,377.42470973878295,1
35,34,242.5735294117647,114.10051891623901,433.8388549927457,348.00660613118447,676.4123844045105,400.054890697738,0.5,0.67,2,0.9288,0.0121,0.7236,0,487.7083333333333,308.70276010625855,676.4123844045105,400.054890697738,0,215,574.6189791929004,360.74743791975675,1
36,16,225.625,126.3960170456332,657.1859266742538,354.3848830148008,882.8109266742538,402.530182191028,0.0,0.0,0,0.864,0.0667,0.517,0,214.5,130.69541562987843,882.8109266742538,402.530182191028,4,91,346.6236284597625,185.7229518228115,1
37,31,238.9516129032258,110.74646683643404,485.5352438993809,320.44715848416445,724.4868568026063,346.37971346977537,0.5,0.67,2,0.9157,0.0263,0.3674,1,435.7083333333333,263.4499049735178,724.4868568026063,346.37971346977537,0,199,483.2059870828539,256.6252016512852,2
38,34,246.01470588235293,116.51738606030115,546.6042392859375,413.21312686081046,792.6189451682905,469.9014131054339,0.1,0.3,1,0.9273,0.0244,0.2681,4,503.625,302.3731224965826,792.6189451682905,469.9014131054339,1,224,449.1153871982165,323.91004855341276,1
39,25,208.3,110.02872352254207,571.4711436961197,422.4662605606963,779.7711436961197,472.7062946577759,0.3,0.46,1,0.9321,0.033,0.5848,1,306.7916666666667,211.14691353941745,779.7711436961197,472.7062946577759,0,147,489.66970148606015,277.97525031662656,2
40,21,286.0,96.32398208031852,829.8394106640915,435.8996047435109,1115.8394106640915,467.5257254299622,0.4,0.49,1,0.8573,0.0564,0.7205,0,356.4166666666667,200.2740656922131,1115.8394106640915,467.5257254299622,0,154,289.03458269697575,202.88568039385294,0
41,22,216.61363636363637,112.70858761931362,671.735305992349,412.36478239324106,888.3489423559852,489.553959529399,0.6,0.66,2,0.9497,0.0243,0.325,2,279.7083333333333,176.03070971818778,888.3489423559852,489.553959529399,0,136,410.4446514930935,321.39756056920857,2
42,26,176.98076923076923,102.2000753395431,426.08625783457927,392.39766297068934,603.0670270653485,425.07417402500994,0.4,0.49,1,0.941,0.0313,0.3971,2,266.5416666666667,224.08317450719548,603.0670270653485,425.07417402500994,0,123,575.88973865528,305.4889940860401,1
43,42,191.4047619047619,113.38699209928917,308.64926724998304,499.94750476828244,500.0540291547449,565.6571445021847,0.1,0.3,1,0.9303,0.0251,0.6067,1,474.3333333333333,339.42594512238196,500.0540291547449,565.6571445021847,0,215,842.1811655822253,446.8603634718994,1
44,13,189.3846153846154,105.73736582941898,775.160715815727,394.4700499044204,964.5453312003427,362.5353095930491,0.2,0.4,1,0.6744,0.1208,0.6118,0,147.25,122.40021446059643,964.5453312003427,362.5353095930491,0,65,348.05521831117534,150.5190434594407,2
45,18,210.58333333333334,108.38386641931538,503.3811172111661,300.26283123323213,713.9644505444994,314.02413640892553,0.4,0.49,1,0.9569,0.0185,0.3903,1,227.125,160.89283765392832,713.9644505444994,314.02413640892553,0,106,355.6622679312292,202.74555482670897,1
46,34,211.39705882352942,120.94412780359785,453.57517242006764,529.6834917128792,664.9722312435971,613.8943713212639,0.3,0.46,1,0.9421,0.0392,0.5708,2,420.7083333333333,285.66993325145177,664.9722312435971,613.8943713212639,0,193,643.3026039460975,395.3265287138731,0
47,46,194.81521739130434,127.88664132465347,244.35765667447168,576.7035675745865,439.172874065776,669.6361554019622,0.3,0.46,1,0.9474,0.0162,0.6282,1,522.5416666666666,344.3857126787089,439.172874065776,669.6361554019622,0,239,846.2606741763079,530.4505560785971,0
48,17,195.55882352941177,89.85705680378948,746.7257490088714,457.5212585774064,942.2845725382831,470.1420805247716,0.0,0.0,0,0.8969,0.0499,0.4778,0,193.20833333333334,159.68777587495197,942.2845725382831,470.1420805247716,3,88,416.513207214982,184.31623812377583,1
49,27,200.66666666666666,112.23066524895155,481.6494472842937,381.62249739884703,682.3161139509604,419.9225582002684,0.1,0.3,1,0.9391,0.0243,0.2846,2,321.1666666666667,222.9419144580539,682.3161139509604,419.9225582002684,0,145,593.1003791828399,354.88530360861995,1
